# Simulation 1 (Up to date)
# 523 data points written for 54 variables.
#
# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (°),Longitude (°),Gravitational acceleration (m/s²),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (cm),CG location (cm),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (m/s²),Reference length (cm),Reference area (cm²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
5.614,525.348,78.529,-11.662,79.159,11.666,50.158,0.008,50.158,0.01,9.968,0.305,28.61,-80.599,9.791,0.084,6.188e-6,-6.415,0.049,3814.827,245.056,0.395,0.005,77.711,57.193,2.23,0.236,5.778e6,0,7.22,0.292,0.292,0.218,0.005,0.07,0.008,0.019,-2.436e-5,0,0,0,0,-4.69e-4,0.01,9.2,66.476,79.367,0.008,4.656,11.585,951.776,338.32,0.05,0.042
5.664,529.26,77.946,-11.652,78.58,11.654,50.656,0.009,50.656,0.01,9.955,0.219,28.61,-80.599,9.791,0.228,1.066e-6,-5.842,0.02,3814.827,245.056,0.395,0.005,77.562,57.193,2.214,0.234,5.736e6,0,7.118,0.292,0.292,0.218,0.005,0.069,0.023,0.051,1.994e-4,0,0,0,0,-3.944e-4,0.01,9.2,66.476,79.06,0.007,4.787,11.56,951.339,338.304,0.05,0.042
5.714,533.142,77.364,-11.642,78.001,11.642,51.153,0.009,51.153,0.01,9.946,0.135,28.61,-80.599,9.791,0.37,-3.03e-5,-4.672,0.017,3814.827,245.056,0.395,0.005,77.417,57.193,2.198,0.233,5.694e6,0,7.015,0.292,0.292,0.218,0.005,0.069,0.038,0.083,2.711e-4,0,0,0,0,-2.558e-4,0.01,9.2,66.476,78.795,0.007,4.855,11.535,950.906,338.289,0.05,0.042
5.764,536.996,76.783,-11.619,77.423,11.619,51.651,0.009,51.651,0.01,9.94,0.119,28.61,-80.599,9.791,0.404,-3.604e-5,-3.332,0.017,3814.827,245.056,0.395,0.005,77.382,57.193,2.194,0.231,5.653e6,0,6.914,0.292,0.292,0.218,0.005,0.069,0.041,0.091,7.08e-5,0,0,0,0,-1.32e-4,0.01,9.2,66.476,78.595,0.008,4.984,11.51,950.475,338.274,0.05,0.043
5.814,540.821,76.202,-11.592,76.847,11.593,52.147,0.009,52.147,0.01,9.934,0.118,28.61,-80.599,9.791,0.408,-1.603e-5,-1.861,0.003,3814.827,245.056,0.395,0.005,77.375,57.193,2.194,0.23,5.611e6,0,6.812,0.292,0.292,0.218,0.005,0.069,0.042,0.092,-1.284e-4,0,0,0,0,-4.176e-5,0.01,9.2,66.476,78.467,0.009,5.049,11.485,950.048,338.259,0.05,0.043
5.864,544.616,75.624,-11.553,76.272,11.554,52.644,0.009,52.644,0.01,9.927,0.178,28.61,-80.599,9.791,0.309,-2.648e-5,-0.571,0.015,3814.827,245.056,0.395,0.005,77.472,57.193,2.204,0.228,5.57e6,0,6.711,0.292,0.292,0.218,0.005,0.069,0.031,0.069,-3.562e-4,0,0,0,0,-3.989e-6,0.01,9.2,66.476,78.408,0.011,5.16,11.46,949.624,338.244,0.05,0.043
5.914,548.383,75.047,-11.507,75.699,11.51,53.14,0.009,53.14,0.01,9.916,0.273,28.61,-80.599,9.791,0.146,-2.339e-5,0.112,0.013,3814.827,245.056,0.395,0.005,77.635,57.193,2.222,0.226,5.529e6,0,6.612,0.292,0.292,0.218,0.005,0.069,0.015,0.033,-2.798e-4,0,0,0,0,1.564e-7,0.01,9.2,66.476,78.4,0.014,5.293,11.436,949.203,338.229,0.05,0.043
5.964,552.121,74.473,-11.466,75.128,11.471,53.635,0.01,53.635,0.01,9.901,0.345,28.61,-80.599,9.79,0.013,-2.441e-5,0.528,0.039,3814.827,245.056,0.395,0.005,77.769,57.193,2.237,0.225,5.487e6,0,6.512,0.292,0.292,0.218,0.005,0.069,0.001,0.002,1.249e-4,0,0,0,0,3.514e-6,0.01,9.2,66.476,78.419,0.017,5.344,11.411,948.785,338.214,0.05,0.043
6.014,555.83,73.901,-11.42,74.558,11.428,54.13,0.01,54.13,0.01,9.88,0.445,28.61,-80.599,9.79,0.172,-2.316e-5,-0.037,-0.009,3814.827,245.056,0.395,0.005,77.605,57.193,2.219,0.223,5.447e6,0,6.417,0.292,0.292,0.218,0.005,0.069,0.017,0.039,1.135e-4,0,0,0,0,-1.794e-8,0.01,9.2,66.476,78.436,0.018,5.479,11.387,948.371,338.199,0.05,0.043
6.064,559.511,73.33,-11.4,73.99,11.408,54.623,0.01,54.623,0.01,9.859,0.4,28.61,-80.599,9.79,0.106,-2.468e-5,0.293,-0.005,3814.827,245.056,0.395,0.005,77.671,57.193,2.226,0.221,5.402e6,0,6.311,0.292,0.292,0.218,0.005,0.069,0.011,0.024,-2.706e-4,0,0,0,0,1.11e-6,0.009,9.2,66.476,78.43,0.019,5.293,11.363,947.959,338.185,0.05,0.044
6.114,563.163,72.761,-11.378,73.423,11.384,55.116,0.01,55.116,0.011,9.839,0.377,28.61,-80.599,9.79,0.073,-2.491e-5,0.662,-0.01,3814.827,245.056,0.395,0.005,77.702,57.193,2.229,0.22,5.359e6,0,6.21,0.292,0.292,0.218,0.005,0.069,0.007,0.017,4.23e-4,0,0,0,0,5.779e-6,0.009,9.2,66.476,78.405,0.02,5.187,11.339,947.551,338.171,0.05,0.044
6.164,566.787,72.192,-11.367,72.857,11.371,55.607,0.01,55.607,0.011,9.822,0.293,28.61,-80.599,9.79,0.072,-2.427e-5,-0.659,-0.007,3814.827,245.056,0.395,0.005,77.701,57.193,2.229,0.218,5.313e6,0,6.105,0.292,0.292,0.218,0.005,0.069,0.007,0.016,3.766e-5,0,0,0,0,-5.82e-6,0.009,9.2,66.476,78.371,0.02,4.939,11.316,947.147,338.156,0.05,0.044
6.214,570.383,71.624,-11.354,72.293,11.357,56.098,0.011,56.098,0.011,9.81,0.221,28.61,-80.599,9.79,0.2,-2.415e-5,-0.173,0.001,3814.827,245.056,0.395,0.005,77.569,57.193,2.215,0.216,5.268e6,0,6.002,0.292,0.292,0.218,0.005,0.069,0.02,0.045,-2.886e-4,0,0,0,0,-4.061e-7,0.009,9.2,66.476,78.348,0.02,4.697,11.293,946.745,338.142,0.05,0.044
6.264,573.95,71.057,-11.328,71.729,11.33,56.588,0.011,56.588,0.011,9.799,0.223,28.61,-80.599,9.79,0.188,-2.492e-5,0.441,-0.005,3814.827,245.056,0.395,0.005,77.578,57.193,2.216,0.214,5.225e6,0,5.904,0.291,0.292,0.218,0.005,0.069,0.019,0.042,4.959e-4,0,0,0,0,2.696e-6,0.009,9.2,66.476,78.354,0.019,4.602,11.269,946.346,338.128,0.05,0.044
6.314,577.488,70.491,-11.293,71.168,11.297,57.078,0.011,57.078,0.011,9.787,0.266,28.61,-80.599,9.79,0.096,-2.24e-5,0.843,0.002,3814.827,245.056,0.395,0.005,77.67,57.193,2.226,0.213,5.183e6,0,5.809,0.291,0.291,0.218,0.005,0.069,0.01,0.022,-2.566e-4,0,0,0,0,9.996e-6,0.009,9.2,66.476,78.388,0.017,4.577,11.246,945.951,338.114,0.05,0.045
6.364,580.999,69.928,-11.267,70.607,11.27,57.567,0.011,57.567,0.011,9.773,0.267,28.61,-80.599,9.79,0.083,-2.362e-5,1.01,-0.002,3814.827,245.056,0.395,0.005,77.682,57.193,2.227,0.211,5.139e6,0,5.712,0.291,0.291,0.218,0.005,0.069,0.008,0.019,-4.382e-4,0,0,0,0,1.457e-5,0.009,9.2,66.476,78.436,0.016,4.432,11.224,945.559,338.1,0.05,0.045
6.414,584.481,69.365,-11.244,70.048,11.247,58.056,0.011,58.056,0.011,9.761,0.253,28.61,-80.599,9.79,0.098,-2.851e-5,1.524,-0.006,3814.827,245.056,0.395,0.005,77.664,57.193,2.225,0.209,5.095e6,0,5.614,0.291,0.291,0.218,0.005,0.069,0.01,0.022,-1.097e-4,0,0,0,0,3.375e-5,0.009,9.2,66.476,78.498,0.015,4.226,11.201,945.17,338.087,0.05,0.045
6.464,587.935,68.804,-11.186,69.49,11.194,58.543,0.012,58.543,0.011,9.744,0.434,28.61,-80.599,9.79,0.279,-2.331e-5,-1.213,-0.006,3814.827,245.056,0.395,0.005,77.479,57.193,2.205,0.208,5.058e6,0,5.534,0.291,0.291,0.218,0.005,0.069,0.028,0.062,-5.852e-6,0,0,0,0,-2.166e-5,0.009,9.2,66.476,78.569,0.015,4.522,11.178,944.784,338.073,0.05,0.045
6.514,591.361,68.246,-11.137,68.934,11.152,59.03,0.012,59.03,0.011,9.718,0.573,28.61,-80.599,9.79,0.573,-2.379e-5,0.131,0.002,3814.827,245.056,0.395,0.005,77.186,57.193,2.173,0.206,5.021e6,0,5.457,0.291,0.291,0.218,0.005,0.069,0.059,0.128,4.307e-4,0,0,0,0,2.552e-7,0.009,9.2,66.476,78.601,0.016,4.761,11.156,944.401,338.06,0.05,0.046
6.564,594.76,67.69,-11.117,68.38,11.131,59.515,0.012,59.515,0.011,9.69,0.548,28.61,-80.599,9.79,0.538,-2.808e-5,1.641,-0.001,3814.827,245.056,0.395,0.005,77.218,57.193,2.177,0.205,4.979e6,0,5.365,0.291,0.291,0.218,0.005,0.069,0.055,0.119,-2.124e-4,0,0,0,0,4.092e-5,0.009,9.2,66.476,78.556,0.017,4.676,11.134,944.021,338.046,0.05,0.046
6.614,598.13,67.134,-11.096,67.826,11.109,59.999,0.012,59.999,0.012,9.663,0.534,28.61,-80.599,9.79,0.522,-1.633e-5,2.924,0.002,3814.827,245.056,0.395,0.005,77.232,57.193,2.178,0.203,4.938e6,0,5.278,0.291,0.291,0.218,0.005,0.068,0.053,0.116,-2.565e-4,0,0,0,0,1.319e-4,0.009,9.2,66.476,78.44,0.017,4.705,11.112,943.645,338.033,0.05,0.046
6.664,601.473,66.58,-11.059,67.274,11.076,60.481,0.012,60.481,0.012,9.634,0.62,28.61,-80.599,9.79,0.708,-2.373e-5,4.659,0.002,3814.827,245.056,0.395,0.005,77.049,57.193,2.158,0.202,4.903e6,0,5.207,0.291,0.291,0.218,0.005,0.068,0.073,0.157,2.516e-4,0,0,0,0,3.395e-4,0.009,9.2,66.476,78.25,0.016,5.079,11.09,943.271,338.02,0.05,0.046
6.714,604.789,66.028,-11.041,66.723,11.057,60.962,0.013,60.962,0.012,9.603,0.591,28.61,-80.599,9.79,0.653,-4.991e-6,6.595,0.005,3814.827,245.056,0.395,0.005,77.101,57.193,2.164,0.2,4.866e6,0,5.127,0.291,0.291,0.218,0.005,0.068,0.067,0.144,-1.021e-4,0,0,0,0,6.905e-4,0.009,9.2,66.476,77.969,0.016,5.261,11.069,942.901,338.007,0.05,0.046
6.764,608.076,65.476,-11.06,66.172,11.067,61.442,0.013,61.442,0.012,9.578,0.376,28.61,-80.599,9.79,0.191,-3.073e-5,7.685,0.006,3814.827,245.056,0.395,0.005,77.558,57.193,2.214,0.198,4.822e6,0,5.028,0.291,0.291,0.218,0.005,0.068,0.019,0.042,-2.66e-4,0,0,0,0,9.542e-4,0.008,9.2,66.476,77.607,0.016,5.033,11.048,942.534,337.994,0.05,0.046
6.814,611.336,64.922,-11.085,65.623,11.086,61.92,0.013,61.92,0.012,9.566,0.157,28.61,-80.599,9.79,0.313,-1.988e-5,-7.398,0.003,3814.827,245.056,0.395,0.005,77.433,57.193,2.2,0.197,4.778e6,0,4.937,0.291,0.291,0.218,0.004,0.068,0.032,0.07,1.358e-4,0,0,0,0,-9.003e-4,0.008,9.2,66.476,77.223,0.015,4.776,11.026,942.169,337.981,0.05,0.047
6.864,614.568,64.367,-11.088,65.074,11.088,62.398,0.013,62.398,0.012,9.561,0.055,28.61,-80.599,9.79,0.556,-3.753e-5,-6.331,0.007,3814.827,245.056,0.395,0.005,77.19,57.193,2.174,0.195,4.738e6,0,4.858,0.291,0.291,0.218,0.004,0.068,0.057,0.125,4.888e-4,0,0,0,0,-6.701e-4,0.008,9.2,66.476,76.877,0.016,4.785,11.005,941.808,337.968,0.05,0.047
6.914,617.773,63.813,-11.092,64.525,11.092,62.876,0.013,62.876,0.012,9.56,0.047,28.61,-80.599,9.79,0.801,-2.609e-5,-4.747,-0.002,3814.827,245.056,0.395,0.005,76.95,57.193,2.148,0.193,4.696e6,0,4.778,0.291,0.291,0.218,0.004,0.068,0.083,0.178,-2.499e-4,0,0,0,0,-3.832e-4,0.008,9.2,66.476,76.599,0.015,4.702,10.984,941.45,337.955,0.05,0.047
6.964,620.95,63.258,-11.103,63.977,11.104,63.354,0.014,63.354,0.012,9.566,0.177,28.61,-80.599,9.79,1.107,-2.841e-5,-2.341,0.002,3814.827,245.056,0.395,0.005,76.658,57.193,2.116,0.192,4.652e6,0,4.697,0.291,0.292,0.218,0.004,0.068,0.116,0.245,1.891e-4,0,0,0,0,-9.494e-5,0.008,9.2,66.476,76.42,0.015,4.421,10.964,941.095,337.943,0.05,0.047
7.014,624.099,62.703,-11.077,63.43,11.078,63.833,0.014,63.833,0.012,9.576,0.162,28.61,-80.599,9.79,1.081,-2.422e-5,0.325,-0.001,3814.827,245.056,0.395,0.005,76.681,57.193,2.118,0.19,4.611e6,0,4.614,0.291,0.292,0.218,0.004,0.068,0.113,0.239,-1.431e-4,0,0,0,0,1.859e-6,0.008,9.2,66.476,76.37,0.015,4.38,10.943,940.743,337.931,0.05,0.047
7.064,627.22,62.151,-11.019,62.885,11.019,64.312,0.014,64.312,0.012,9.58,0.013,28.61,-80.599,9.79,0.733,-2.274e-5,2.415,0.002,3814.827,245.056,0.395,0.005,77.011,57.193,2.154,0.189,4.575e6,0,4.533,0.291,0.291,0.218,0.004,0.068,0.075,0.163,-4.156e-4,0,0,0,0,1.044e-4,0.008,9.2,66.476,76.442,0.015,4.571,10.923,940.395,337.918,0.05,0.047
7.114,630.314,61.601,-10.962,62.341,10.963,64.791,0.014,64.791,0.013,9.577,0.13,28.61,-80.599,9.79,0.376,-3.38e-5,3.611,-0.007,3814.827,245.056,0.395,0.005,77.36,57.193,2.192,0.187,4.537e6,0,4.453,0.291,0.291,0.218,0.004,0.068,0.038,0.083,-4.376e-4,0,0,0,0,2.372e-4,0.008,9.2,66.476,76.598,0.015,4.678,10.903,940.049,337.906,0.05,0.047
7.164,633.38,61.054,-10.92,61.8,10.922,65.27,0.014,65.27,0.013,9.568,0.216,28.61,-80.599,9.79,0.138,-2.694e-5,4.259,-0.012,3814.827,245.056,0.395,0.005,77.598,57.193,2.218,0.185,4.496e6,0,4.372,0.29,0.29,0.218,0.004,0.068,0.014,0.031,-1.985e-4,0,0,0,0,3.358e-4,0.008,9.2,66.476,76.798,0.015,4.6,10.883,939.706,337.894,0.05,0.048
7.214,636.419,60.51,-10.871,61.259,10.876,65.748,0.015,65.748,0.013,9.554,0.34,28.61,-80.599,9.79,0.209,-3.597e-5,-4.201,-0.009,3814.827,245.056,0.395,0.005,77.525,57.193,2.21,0.184,4.457e6,0,4.297,0.29,0.29,0.218,0.004,0.068,0.021,0.046,2.459e-5,0,0,0,0,-3.322e-4,0.008,9.2,66.476,77.013,0.016,4.637,10.863,939.367,337.882,0.05,0.048
7.264,639.431,59.967,-10.829,60.72,10.838,66.225,0.015,66.225,0.013,9.534,0.438,28.61,-80.599,9.79,0.488,-2.932e-5,-3.296,-0.006,3814.827,245.056,0.395,0.005,77.244,57.193,2.179,0.182,4.418e6,0,4.224,0.29,0.291,0.218,0.004,0.068,0.05,0.108,-2.083e-4,0,0,0,0,-2.081e-4,0.008,9.2,66.476,77.204,0.018,4.629,10.844,939.03,337.87,0.05,0.048
7.314,642.416,59.426,-10.809,60.183,10.818,66.701,0.015,66.701,0.013,9.513,0.43,28.61,-80.599,9.79,0.497,-2.019e-5,-2.375,-0.008,3814.827,245.056,0.395,0.005,77.234,57.193,2.178,0.181,4.375e6,0,4.142,0.29,0.291,0.218,0.004,0.068,0.051,0.111,-9.122e-5,0,0,0,0,-1.101e-4,0.008,9.2,66.476,77.345,0.019,4.371,10.824,938.697,337.858,0.05,0.048
7.364,645.374,58.887,-10.771,59.646,10.784,67.176,0.015,67.176,0.013,9.49,0.524,28.61,-80.599,9.79,0.769,-3.098e-5,-1.109,-0.003,3814.827,245.056,0.395,0.005,76.967,57.193,2.149,0.179,4.337e6,0,4.075,0.29,0.291,0.218,0.004,0.068,0.079,0.17,4.206e-4,0,0,0,0,-2.441e-5,0.008,9.2,66.476,77.433,0.02,4.472,10.805,938.366,337.847,0.05,0.048
7.414,648.305,58.349,-10.723,59.111,10.744,67.65,0.015,67.65,0.013,9.459,0.678,28.61,-80.599,9.79,1.191,-2.908e-5,0.964,-0.006,3814.827,245.056,0.395,0.005,76.566,57.193,2.106,0.178,4.304e6,0,4.023,0.29,0.291,0.218,0.004,0.068,0.125,0.263,-2.616e-4,0,0,0,0,1.872e-5,0.008,9.2,66.476,77.439,0.021,4.826,10.786,938.039,337.835,0.05,0.048
7.464,651.209,57.814,-10.687,58.577,10.714,68.122,0.016,68.122,0.013,9.423,0.768,28.61,-80.599,9.79,1.447,-2.531e-5,3.658,-0.005,3814.827,245.056,0.395,0.005,76.328,57.193,2.08,0.176,4.271e6,0,3.969,0.29,0.292,0.218,0.004,0.068,0.153,0.318,-2.96e-4,0,0,0,0,2.738e-4,0.008,9.2,66.476,77.324,0.022,5.127,10.767,937.715,337.824,0.05,0.048
7.514,654.086,57.28,-10.672,58.044,10.698,68.592,0.016,68.592,0.013,9.384,0.74,28.61,-80.599,9.79,1.398,-3.004e-5,6.604,-0.006,3814.827,245.056,0.395,0.005,76.372,57.193,2.085,0.175,4.234e6,0,3.9,0.29,0.292,0.218,0.004,0.068,0.148,0.307,-3.6e-4,0,0,0,0,9.074e-4,0.007,9.2,66.476,77.067,0.023,5.251,10.748,937.393,337.812,0.05,0.049
7.564,656.937,56.746,-10.688,57.512,10.702,69.06,0.016,69.06,0.013,9.351,0.557,28.61,-80.599,9.79,0.923,-2.403e-5,8.811,-0.004,3814.827,245.056,0.395,0.005,76.814,57.193,2.133,0.173,4.192e6,0,3.81,0.29,0.291,0.218,0.004,0.068,0.096,0.202,-3.124e-4,0,0,0,0,0.002,0.007,9.2,66.476,76.678,0.022,5.051,10.73,937.075,337.801,0.05,0.049
7.614,659.761,56.212,-10.712,56.98,10.718,69.527,0.016,69.527,0.014,9.328,0.351,28.61,-80.599,9.79,0.336,-3.68e-5,10.077,-0.008,3814.827,245.056,0.395,0.005,77.385,57.193,2.195,0.172,4.15e6,0,3.725,0.29,0.29,0.218,0.004,0.068,0.034,0.073,-1.734e-5,0,0,0,0,0.002,0.007,9.2,66.476,76.2,0.021,4.825,10.712,936.759,337.79,0.05,0.049
7.664,662.558,55.675,-10.74,56.449,10.741,69.993,0.017,69.993,0.014,9.317,0.158,28.61,-80.599,9.79,0.264,-3.16e-5,-9.932,-0.012,3814.827,245.056,0.395,0.005,77.456,57.193,2.202,0.17,4.107e6,0,3.649,0.29,0.29,0.218,0.004,0.068,0.027,0.061,4.708e-4,0,0,0,0,-0.002,0.007,9.2,66.476,75.694,0.02,4.601,10.693,936.447,337.779,0.05,0.049
7.714,665.328,55.138,-10.744,55.919,10.745,70.459,0.017,70.459,0.014,9.31,0.082,28.61,-80.599,9.79,0.518,-3.44e-5,-9.384,-0.004,3814.827,245.056,0.395,0.005,77.201,57.193,2.175,0.168,4.071e6,0,3.587,0.29,0.29,0.218,0.004,0.068,0.053,0.117,4.122e-4,0,0,0,0,-0.002,0.007,9.2,66.476,75.209,0.018,4.716,10.675,936.137,337.768,0.05,0.049
7.764,668.072,54.6,-10.767,55.388,10.767,70.925,0.017,70.925,0.014,9.31,0.061,28.61,-80.599,9.79,0.975,-4.117e-5,-7.855,-0.001,3814.827,245.056,0.395,0.005,76.758,57.193,2.127,0.167,4.03e6,0,3.523,0.29,0.291,0.218,0.004,0.068,0.101,0.217,-1.236e-4,0,0,0,0,-0.001,0.007,9.2,66.476,74.775,0.016,4.551,10.658,935.831,337.757,0.05,0.049
7.814,670.788,54.062,-10.763,54.858,10.764,71.39,0.017,71.39,0.014,9.314,0.1,28.61,-80.599,9.79,1.117,-3.083e-5,-6.092,-0.003,3814.827,245.056,0.395,0.005,76.624,57.193,2.112,0.165,3.993e6,0,3.462,0.29,0.291,0.218,0.004,0.067,0.117,0.247,-2.203e-4,0,0,0,0,-8.657e-4,0.007,9.2,66.476,74.425,0.014,4.624,10.64,935.527,337.747,0.05,0.049
7.864,673.478,53.524,-10.758,54.329,10.759,71.856,0.018,71.856,0.014,9.321,0.136,28.61,-80.599,9.79,1.248,-3.307e-5,-3.903,-9.026e-4,3814.827,245.056,0.395,0.005,76.5,57.193,2.099,0.164,3.955e6,0,3.398,0.29,0.291,0.218,0.004,0.067,0.131,0.276,2.632e-4,0,0,0,0,-3.622e-4,0.007,9.2,66.476,74.175,0.012,4.595,10.622,935.226,337.736,0.05,0.049
7.914,676.141,52.987,-10.736,53.801,10.737,72.322,0.018,72.322,0.014,9.326,0.119,28.61,-80.599,9.79,1.21,-2.173e-5,-2.023,-0.005,3814.827,245.056,0.395,0.005,76.535,57.193,2.102,0.162,3.918e6,0,3.334,0.29,0.291,0.218,0.004,0.067,0.127,0.267,4.649e-4,0,0,0,0,-9.909e-5,0.007,9.2,66.476,74.029,0.011,4.638,10.605,934.929,337.726,0.05,0.05
7.964,678.776,52.449,-10.746,53.274,10.748,72.789,0.018,72.789,0.014,9.335,0.218,28.61,-80.599,9.79,1.538,-2.777e-5,0.43,-0.002,3814.827,245.056,0.395,0.005,76.232,57.193,2.069,0.16,3.872e6,0,3.265,0.29,0.292,0.218,0.004,0.067,0.163,0.338,-1.55e-5,0,0,0,0,4.592e-6,0.007,9.2,66.476,73.989,0.011,4.2,10.588,934.635,337.715,0.05,0.05
8.014,681.386,51.913,-10.703,52.747,10.704,73.256,0.018,73.256,0.014,9.345,0.137,28.61,-80.599,9.79,1.285,-3.118e-5,2.868,0.001,3814.827,245.056,0.395,0.005,76.462,57.193,2.094,0.159,3.834e6,0,3.196,0.29,0.291,0.218,0.004,0.067,0.135,0.282,-4.065e-4,0,0,0,0,2.078e-4,0.007,9.2,66.476,74.072,0.011,4.219,10.571,934.343,337.705,0.05,0.05
8.064,683.968,51.38,-10.633,52.223,10.633,73.723,0.019,73.723,0.014,9.346,0.045,28.61,-80.599,9.79,0.661,-3.837e-5,4.178,-0.005,3814.827,245.056,0.395,0.005,77.053,57.193,2.159,0.158,3.802e6,0,3.131,0.29,0.29,0.218,0.004,0.067,0.068,0.146,-9.94e-6,0,0,0,0,4.483e-4,0.007,9.2,66.476,74.253,0.013,4.509,10.554,934.054,337.695,0.05,0.05
8.114,686.524,50.849,-10.607,51.7,10.607,74.19,0.019,74.19,0.014,9.344,0.066,28.61,-80.599,9.79,0.57,-2.408e-5,5.268,-1.425e-4,3814.827,245.056,0.395,0.005,77.14,57.193,2.168,0.156,3.759e6,0,3.06,0.29,0.29,0.218,0.004,0.067,0.058,0.126,-3.503e-4,0,0,0,0,7.287e-4,0.007,9.2,66.476,74.492,0.015,4.222,10.538,933.769,337.685,0.05,0.05
8.164,689.053,50.319,-10.573,51.178,10.573,74.658,0.019,74.658,0.015,9.339,0.122,28.61,-80.599,9.79,0.341,-3.309e-5,5.921,-0.002,3814.827,245.056,0.395,0.005,77.366,57.193,2.193,0.154,3.719e6,0,2.992,0.29,0.29,0.218,0.004,0.067,0.034,0.075,7.349e-5,0,0,0,0,9.405e-4,0.007,9.2,66.476,74.774,0.017,4.038,10.521,933.486,337.675,0.05,0.05
8.214,691.555,49.791,-10.538,50.658,10.54,75.124,0.019,75.124,0.015,9.332,0.183,28.61,-80.599,9.79,0.083,-2.975e-5,6.337,-0.004,3814.827,245.056,0.395,0.005,77.625,57.193,2.221,0.153,3.678e6,0,2.926,0.29,0.29,0.218,0.004,0.067,0.008,0.018,-1.718e-5,0,0,0,0,0.001,0.007,9.2,66.476,75.081,0.02,3.857,10.505,933.207,337.665,0.05,0.05
8.264,694.032,49.266,-10.485,50.139,10.491,75.591,0.019,75.591,0.015,9.319,0.33,28.61,-80.599,9.79,0.521,-2.039e-5,-5.999,-0.01,3814.827,245.056,0.395,0.005,77.184,57.193,2.173,0.151,3.644e6,0,2.874,0.289,0.29,0.218,0.004,0.067,0.053,0.116,2.635e-4,0,0,0,0,-0.001,0.006,9.2,66.476,75.393,0.022,4.003,10.489,932.93,337.655,0.05,0.05
8.314,696.482,48.743,-10.436,49.622,10.447,76.056,0.02,76.056,0.015,9.299,0.478,28.61,-80.599,9.79,1.116,-2.291e-5,-4.747,-0.01,3814.827,245.056,0.395,0.005,76.611,57.193,2.111,0.15,3.61e6,0,2.829,0.289,0.291,0.218,0.004,0.067,0.116,0.247,-2.916e-4,0,0,0,0,-6.409e-4,0.006,9.2,66.476,75.665,0.025,4.178,10.473,932.656,337.645,0.05,0.051
8.364,698.906,48.222,-10.407,49.105,10.421,76.52,0.02,76.52,0.015,9.273,0.539,28.61,-80.599,9.79,1.388,-3.695e-5,-2.929,-0.005,3814.827,245.056,0.395,0.005,76.358,57.193,2.083,0.148,3.572e6,0,2.775,0.289,0.291,0.218,0.004,0.067,0.147,0.305,-1.398e-4,0,0,0,0,-2.49e-4,0.006,9.2,66.476,75.859,0.028,4.129,10.457,932.386,337.636,0.05,0.051
8.414,701.304,47.702,-10.395,48.59,10.408,76.983,0.02,76.983,0.015,9.246,0.523,28.61,-80.599,9.79,1.379,-2.822e-5,-1.029,-0.007,3814.827,245.056,0.395,0.005,76.365,57.193,2.084,0.147,3.531e6,0,2.712,0.289,0.291,0.218,0.004,0.067,0.145,0.303,-4.955e-4,0,0,0,0,-3.145e-5,0.006,9.2,66.476,75.957,0.03,3.913,10.442,932.118,337.626,0.05,0.051
8.464,703.676,47.182,-10.382,48.075,10.394,77.445,0.02,77.445,0.015,9.22,0.508,28.61,-80.599,9.79,1.364,-2.962e-5,0.784,-0.004,3814.827,245.056,0.395,0.005,76.378,57.193,2.085,0.145,3.491e6,0,2.651,0.289,0.291,0.218,0.004,0.067,0.144,0.299,-3.848e-4,0,0,0,0,1.868e-5,0.006,9.2,66.476,75.962,0.031,3.777,10.426,931.853,337.617,0.05,0.051
8.514,706.022,46.664,-10.359,47.561,10.373,77.905,0.021,77.905,0.015,9.194,0.546,28.61,-80.599,9.79,1.548,-3.055e-5,2.674,-0.006,3814.827,245.056,0.395,0.005,76.21,57.193,2.067,0.144,3.457e6,0,2.603,0.289,0.291,0.218,0.004,0.067,0.164,0.339,-1.987e-4,0,0,0,0,2.214e-4,0.006,9.2,66.476,75.875,0.032,3.898,10.411,931.59,337.608,0.05,0.051
